"Plotname","easting","northing","richness","altitude","TCI"
"SCL052",214.0035,3190.1886,7,0.914,1.07
"SCL053",213.0035,3191.4886,9,0.6668,1.05
"SCL054",213.0035,3191.2886,3,0.6781,1.03
"SCL055",213.0035,3191.6886,6,0.6415,1.33
"SCL056",212.4035,3191.8886,16,0.49,1.05
"SCL057",212.6035,3191.8886,10,0.5058,1.08
"SCL058",211.5035,3192.2886,10,0.2851,1.03
"SCL059",211.6035,3192.3886,8,0.2818,1.05
"SCL061",210.6035,3192.2886,7,0.113,1.3
"SCL063",224.1035,3182.3886,5,1.8984,1.08
"SCL064",224.2035,3182.4886,4,1.8787,1.07
"SCL065",225.3035,3182.4886,11,1.6941,1.14
"SCL066",225.3035,3182.6886,8,1.6715,1.24
"SCL067",226.3035,3182.4886,8,1.4984,1.17
"SCL068",226.4035,3182.3886,4,1.4698,1.11
"SCL069",227.3035,3182.1886,16,1.3064,1.2
"SCL070",227.4035,3182.3886,9,1.3235,1.17
"SCL081",220.5035,3156.7886,20,0.7043,1.1
"SCL082",220.2035,3157.7886,19,0.7293,1.09
"SCL083",219.9035,3158.2886,13,0.7163,1.06
"SCL084",219.4035,3160.7886,16,0.7004,1.11
"SCL085",219.5035,3161.3886,16,0.7294,1.09
"SCL086",221.0035,3191.2886,18,0.6883,1.18
"SCL087",221.8035,3191.5886,16,0.5036,1.91
"SCL088",220.9035,3190.7886,26,0.7825,1.21
"SCL089",220.2035,3190.5886,20,0.8504,1.16
"SCL090",219.7035,3189.2886,18,0.9532,1.32
"SCL091",217.9035,3188.8886,18,1.106,1.19
"SCL092",216.5035,3190.1886,14,0.9945,1.03
"SCL093",214.8035,3189.4886,13,1.021,1.15
"SCL094",212.9035,3187.1886,9,1.1334,1.19
"SCL095",210.5035,3186.5886,17,0.8138,1.7
"SCL096",210.3035,3183.9886,23,0.8606,1.5
"SCL097",210.8035,3181.2886,18,0.7229,1.19
"SCL098",211.9035,3179.0886,21,0.554,1.32
"SCL099",217.2035,3170.9886,8,0.4578,1.02
"SCL100",218.0035,3168.8886,13,0.5319,1.03
"SCL101",218.5035,3164.5886,12,0.5975,1.1
"SCL102",218.9035,3163.9886,23,0.6455,1.17
"SCL109",231.5035,3180.6886,14,0.3375,1.39
"SCL110",231.6035,3182.5886,12,0.4432,1.04
"SCL111",230.0035,3184.1886,24,0.4319,1.45
"SCL112",230.0035,3186.1886,18,0.3356,1.17
"SCL113",228.7035,3190.3886,16,0.1381,1.48
"SCL114",227.7035,3192.4886,12,0.3331,1.2
"SCL115",226.8035,3192.3886,21,0.5008,1.34
"SCL116",225.0035,3191.5886,17,0.5272,1.35
"SCL117",224.7035,3191.4886,20,0.4787,1.57
"SCL118",223.6035,3191.0886,19,0.5247,1.35
"SCL120",221.2035,3191.5886,16,0.5491,1.2
"SD001",218.6035,3163.1886,11,0.5413,1.03
"SD002",218.6035,3162.7886,10,0.5548,1.07
"SD003",218.6035,3163.2886,13,0.5549,1.03
"SD004",218.9035,3163.4886,21,0.644,1.09
"SD005",218.4035,3191.4886,19,0.8375,1.06
"SD006",218.2035,3191.4886,22,0.6565,1.63
"SD007",218.2035,3191.1886,26,0.707,1.68
"SD008",218.1035,3190.7886,23,0.6611,1.97
"SD009",218.1035,3190.6886,19,0.7373,1.72
"SD010",218.0035,3190.4886,29,0.8001,1.55
"SD011",219.2035,3193.1886,19,0.2242,1.3
"SD012",219.2035,3193.2886,31,0.1882,2.19
"SD014",219.1035,3193.2886,21,0.1179,1.67
"SD015",223.2035,3168.0886,10,1.4666,1.01
"SD016",223.8035,3167.8886,19,1.4227,1.05
"SD017",224.0035,3169.0886,24,1.2079,1.01
